COMMAND				DESCRIPTION
git clone url [dir]		Copy a git repository so you can add to it
git add file(s)		Add file(s) contents to the staging area
git commit			Record a snapshot of the staging area
git status			View the status of your files in the working directory and staging area
git diff				Show diff of what is staged and what is modified but unstaged
git help [command]		Get help info about a particular command
git pull				Fetch from a remote repository and try to merge into the current branch
git push				Push your new branches and data to a remote repository

git init				Create an empty Git repository or reinitialize an existing one
git reset				Reset current HEAD to the specified state
git branch			List, create, or delete branches
git checkout			Switch branches or restore working tree files
git merge				Join two or more dvelopment histories together
git log				Show commit logs
git tag				Create, list, delete or verify a tag object signed with GPG



learngitbranching.js.org
